Fill Complete Time,Volume
15:50:00,0.5
15:50:30,1
15:51:00,1.5
15:51:30,2
15:52:00,2.5
15:52:30,3
15:53:00,3.5
15:53:30,4
15:54:00,4.5
15:54:30,5
15:55:00,5.5
15:55:30,6
15:56:00,6.5
15:56:30,7
15:57:00,7.5
15:57:30,8
15:58:00,8.5
15:58:30,9
15:59:00,9.5
15:59:30,10
16:00:00,10.5
16:00:30,11
16:01:00,11.5
16:01:30,12
16:02:00,12.5
16:02:30,13
16:03:00,13.5
16:03:30,14
16:04:00,14.5
16:04:30,15
16:05:00,15.5
16:05:30,16
16:06:00,16.5
16:06:30,17
16:07:00,17.5
16:07:30,18
16:08:00,18.5
16:08:30,19
