Fill Complete Time,Volume
17:20:00,0.5
17:20:30,1
17:21:00,1.5
17:21:30,2
17:22:00,2.5
17:22:30,3
17:23:00,3.5
17:23:30,4
17:24:00,4.5
17:24:30,5
17:25:00,5.5
17:25:30,6
17:26:00,6.5
17:26:30,7
17:27:00,7.5
17:27:30,8
17:28:00,8.5
17:28:30,9
17:29:00,9.5
17:29:30,10
17:30:00,10.5
17:30:30,11
17:31:00,11.5
17:31:30,12
17:32:00,12.5
17:32:30,13
17:33:00,13.5
17:33:30,14
17:34:00,14.5
17:34:30,15
17:35:00,15.5
17:35:30,16
17:36:00,16.5
17:36:30,17
17:37:00,17.5
17:37:30,18
17:38:00,18.5
17:38:30,19
