Fill Complete Time,Volume
16:45:00,0.5
16:45:30,1
16:46:00,1.5
16:46:30,2
16:47:00,2.5
16:47:30,3
16:48:00,3.5
16:48:30,4
16:49:00,4.5
16:49:30,5
16:50:00,5.5
16:50:30,6
16:51:00,6.5
16:51:30,7
16:52:00,7.5
16:52:30,8
16:53:00,8.5
16:53:30,9
16:54:00,9.5
16:54:30,10
16:55:00,10.5
16:55:30,11
16:56:00,11.5
16:56:30,12
16:57:00,12.5
16:57:30,13
16:58:00,13.5
16:58:30,14
16:59:00,14.5
16:59:30,15
17:00:00,15.5
17:00:30,16
17:01:00,16.5
17:01:30,17
17:02:00,17.5
17:02:30,18
17:03:00,18.5
17:03:30,19
