Fill Complete Time,Volume
16:00:00,0.5
16:00:30,1
16:01:00,1.5
16:01:30,2
16:02:00,2.5
16:02:30,3
16:03:00,3.5
16:03:30,4
16:04:00,4.5
16:04:30,5
16:05:00,5.5
16:05:30,6
16:06:00,6.5
16:06:30,7
16:07:00,7.5
16:07:30,8
16:08:00,8.5
16:08:30,9
16:09:00,9.5
16:09:30,10
16:10:00,10.5
16:10:30,11
16:11:00,11.5
16:11:30,12
16:12:00,12.5
16:12:30,13
16:13:00,13.5
16:13:30,14
16:14:00,14.5
16:14:30,15
16:15:00,15.5
16:15:30,16
16:16:00,16.5
16:16:30,17
16:17:00,17.5
16:17:30,18
16:18:00,18.5
16:18:30,19
