Fill Complete Time,Volume
20:53:00,0.5
20:53:30,1
20:54:00,1.5
20:54:30,2
20:55:00,2.5
20:55:30,3
20:56:00,3.5
20:56:30,4
20:57:00,4.5
20:57:30,5
20:58:00,5.5
20:58:30,6
20:59:00,6.5
20:59:30,7
21:00:00,7.5
21:00:30,8
21:01:00,8.5
21:01:30,9
21:02:00,9.5
21:02:30,10
21:03:00,10.5
21:03:30,11
21:04:00,11.5
21:04:30,12
21:05:00,12.5
21:05:30,13
21:06:00,13.5
21:06:30,14
21:07:00,14.5
21:07:30,15
21:08:00,15.5
21:08:30,16
21:09:00,16.5
21:09:30,17
21:10:00,17.5
21:10:30,18
21:11:00,18.5
21:11:30,19
