Fill Complete Time,Volume
22:03:00,0.5
22:03:30,1
22:04:00,1.5
22:04:30,2
22:05:00,2.5
22:05:30,3
22:06:00,3.5
22:06:30,4
22:07:00,4.5
22:07:30,5
22:08:00,5.5
22:08:30,6
22:09:00,6.5
22:09:30,7
22:10:00,7.5
22:10:30,8
22:11:00,8.5
22:11:30,9
22:12:00,9.5
22:12:30,10
22:13:00,10.5
22:13:30,11
22:14:00,11.5
22:14:30,12
22:15:00,12.5
22:15:30,13
22:16:00,13.5
22:16:30,14
22:17:00,14.5
22:17:30,15
22:18:00,15.5
22:18:30,16
22:19:00,16.5
22:19:30,17
22:20:00,17.5
22:20:30,18
22:21:00,18.5
22:21:30,19
