Fill Complete Time,Volume,,
14:00:00,0.5,,complete 6/12
14:00:30,1,,
14:01:00,1.5,,
14:01:30,2,,
14:02:00,2.5,,
14:02:30,3,,
14:03:00,3.5,,
14:03:30,4,,
14:04:00,4.5,,
14:04:30,5,,
14:05:00,5.5,,
14:05:30,6,,
14:06:00,6.5,,
14:06:30,7,,
14:07:00,7.5,,
14:07:30,8,,
14:08:00,8.5,,
14:08:30,9,,
14:09:00,9.5,,
14:09:30,10,,
14:10:00,10.5,,
14:10:30,11,,
14:11:00,11.5,,
14:11:30,12,,
14:12:00,12.5,,
14:12:30,13,,
14:13:00,13.5,,
14:13:30,14,,
14:14:00,14.5,,
14:14:30,15,,
14:15:00,15.5,,
14:15:30,16,,
14:16:00,16.5,,
14:16:30,17,,
14:17:00,17.5,,
14:17:30,18,,
14:18:00,18.5,,
14:18:30,19,,
