Fill Complete Time,Volume,,
15:02:00,0.5,,completed 3/10
15:02:30,1,,
15:03:00,1.5,,
15:03:30,2,,
15:04:00,2.5,,
15:04:30,3,,
15:05:00,3.5,,
15:05:30,4,,
15:06:00,4.5,,
15:06:30,5,,
15:07:00,5.5,,
15:07:30,6,,
15:08:00,6.5,,
15:08:30,7,,
15:09:00,7.5,,
15:09:30,8,,
15:10:00,8.5,,
15:10:30,9,,
15:11:00,9.5,,
15:11:30,10,,
15:12:00,10.5,,
15:12:30,11,,
15:13:00,11.5,,
15:13:30,12,,
15:14:00,12.5,,
15:14:30,13,,
15:15:00,13.5,,
15:15:30,14,,
15:16:00,14.5,,
15:16:30,15,,
15:17:00,15.5,,
15:17:30,16,,
15:18:00,16.5,,
15:18:30,17,,
15:19:00,17.5,,
15:19:30,18,,
15:20:00,18.5,,
15:20:30,19,,
