Fill Complete Time,Volume
16:46:00,0.5
16:46:30,1
16:47:00,1.5
16:47:30,2
16:48:00,2.5
16:48:30,3
16:49:00,3.5
16:49:30,4
16:50:00,4.5
16:50:30,5
16:51:00,5.5
16:51:30,6
16:52:00,6.5
16:52:30,7
16:53:00,7.5
16:53:30,8
16:54:00,8.5
16:54:30,9
16:55:00,9.5
16:55:30,10
16:56:00,10.5
16:56:30,11
16:57:00,11.5
16:57:30,12
16:58:00,12.5
16:58:30,13
16:59:00,13.5
16:59:30,14
17:00:00,14.5
17:00:30,15
17:01:00,15.5
17:01:30,16
17:02:00,16.5
17:02:30,17
17:03:00,17.5
17:03:30,18
17:04:00,18.5
17:04:30,19
