Fill Complete Time,Volume,,Start Time: ,13:22:00
13:22:00,0.5,,,
13:22:30,1,,,
13:23:00,1.5,,,
13:23:30,2,,,
13:24:00,2.5,,,
13:24:30,3,,,
13:25:00,3.5,,,
13:25:30,4,,,
13:26:00,4.5,,,
13:26:30,5,,,
13:27:00,5.5,,,
13:27:30,6,,,
13:28:00,6.5,,,
13:28:30,7,,,
13:29:00,7.5,,,
13:29:30,8,,,
13:30:00,8.5,,,
13:30:30,9,,,
13:31:00,9.5,,,
13:31:30,10,,,
13:32:00,10.5,,,
13:32:30,11,,,
13:33:00,11.5,,,
13:33:30,12,,,
13:34:00,12.5,,,
13:34:30,13,,,
13:35:00,13.5,,,
13:35:30,14,,,
13:36:00,14.5,,,
13:36:30,15,,,
13:37:00,15.5,,,
13:37:30,16,,,
13:38:00,16.5,,,
13:38:30,17,,,
13:39:00,17.5,,,
13:39:30,18,,,
13:40:00,18.5,,,
13:40:30,19,,,
