Fill Complete Time,Volume,,,Start Time: ,13:00:00
13:00:00,0.5,,,,
13:00:30,1,,,,
13:01:00,1.5,,,,
13:01:30,2,,,,
13:02:00,2.5,,,,
13:02:30,3,,,,
13:03:00,3.5,,,,
13:03:30,4,,,,
13:04:00,4.5,,,,
13:04:30,5,,,,
13:05:00,5.5,,,,
13:05:30,6,,,,
13:06:00,6.5,,,,
13:06:30,7,,,,
13:07:00,7.5,,,,
13:07:30,8,,,,
13:08:00,8.5,,,,
13:08:30,9,,,,
13:09:00,9.5,,,,
13:09:30,10,,,,
13:10:00,10.5,,,,
13:10:30,11,,,,
13:11:00,11.5,,,,
13:11:30,12,,,,
13:12:00,12.5,,,,
13:12:30,13,,,,
13:13:00,13.5,,,,
13:13:30,14,,,,
13:14:00,14.5,,,,
13:14:30,15,,,,
13:15:00,15.5,,,,
13:15:30,16,,,,
13:16:00,16.5,,,,
13:16:30,17,,,,
13:17:00,17.5,,,,
13:17:30,18,,,,
13:18:00,18.5,,,,
13:18:30,19,,,,
