Fill Complete Time,Volume,,,Start Time: ,2:55:00
14:55:00,0.5,,,,
14:55:30,1,,,,
14:56:00,1.5,,,,
14:56:30,2,,,,
14:57:00,2.5,,,,
14:57:30,3,,,,
14:58:00,3.5,,,,
14:58:30,4,,,,
14:59:00,4.5,,,,
14:59:30,5,,,,
15:00:00,5.5,,,,
15:00:30,6,,,,
15:01:00,6.5,,,,
15:01:30,7,,,,
15:02:00,7.5,,,,
15:02:30,8,,,,
15:03:00,8.5,,,,
15:03:30,9,,,,
15:04:00,9.5,,,,
15:04:30,10,,,,
15:05:00,10.5,,,,
15:05:30,11,,,,
15:06:00,11.5,,,,
15:06:30,12,,,,
15:07:00,12.5,,,,
15:07:30,13,,,,
15:08:00,13.5,,,,
15:08:30,14,,,,
15:09:00,14.5,,,,
15:09:30,15,,,,
15:10:00,15.5,,,,
15:10:30,16,,,,
15:11:00,16.5,,,,
15:11:30,17,,,,
15:12:00,17.5,,,,
15:12:30,18,,,,
15:13:00,18.5,,,,
15:13:30,19,,,,
