Fill Complete Time,Volume
14:10:00,0.5
14:10:30,1
14:11:00,1.5
14:11:30,2
14:12:00,2.5
14:12:30,3
14:13:00,3.5
14:13:30,4
14:14:00,4.5
14:14:30,5
14:15:00,5.5
14:15:30,6
14:16:00,6.5
14:16:30,7
14:17:00,7.5
14:17:30,8
14:18:00,8.5
14:18:30,9
14:19:00,9.5
14:19:30,10
14:20:00,10.5
14:20:30,11
14:21:00,11.5
14:21:30,12
14:22:00,12.5
14:22:30,13
14:23:00,13.5
14:23:30,14
14:24:00,14.5
14:24:30,15
14:25:00,15.5
14:25:30,16
14:26:00,16.5
14:26:30,17
14:27:00,17.5
14:27:30,18
14:28:00,18.5
14:28:30,19
