Fill Complete Time,Volume
14:40:00,0.5
14:40:30,1
14:41:00,1.5
14:41:30,2
14:42:00,2.5
14:42:30,3
14:43:00,3.5
14:43:30,4
14:44:00,4.5
14:44:30,5
14:45:00,5.5
14:45:30,6
14:46:00,6.5
14:46:30,7
14:47:00,7.5
14:47:30,8
14:48:00,8.5
14:48:30,9
14:49:00,9.5
14:49:30,10
14:50:00,10.5
14:50:30,11
14:51:00,11.5
14:51:30,12
14:52:00,12.5
14:52:30,13
14:53:00,13.5
14:53:30,14
14:54:00,14.5
14:54:30,15
14:55:00,15.5
14:55:30,16
14:56:00,16.5
14:56:30,17
14:57:00,17.5
14:57:30,18
14:58:00,18.5
14:58:30,19
